compound_abcnews,pos_abcnews,neg_abcnews,neu_abcnews,tweet_abcnews,tweet_time_abcnews,tweet_ago_abcnews,compound_CNN,pos_CNN,neg_CNN,neu_CNN,tweet_CNN,tweet_time_CNN,tweet_ago_CNN,compound_CBS,pos_CBS,neg_CBS,neu_CBS,tweet_CBS,tweet_time_CBS,tweet_ago_CBS,compound_nytimes,pos_nytimes,neg_nytimes,neu_nytimes,tweet_nytimes,tweet_time_nytimes,tweet_ago_nytimes,compound_BBC,pos_BBC,neg_BBC,neu_BBC,tweet_BBC,tweet_time_BBC,tweet_ago_BBC,compound_NPR,pos_NPR,neg_NPR,neu_NPR,tweet_NPR,tweet_time_NPR,tweet_ago_NPR
0.0,0.0,0.0,1.0,Hip hop used to teach preschool children about rainbow families https://t.co/5K975KeY9s,2019-03-02 22:02:27+00:00,17.33,-0.6908,0.0,-0.217,0.783,"Enough fentanyl to kill nearly 2 million people was found in New York in a drug bust, DEA says… https://t.co/N7R5gQIbbB",2019-03-02 22:16:06+00:00,6.75,0.0,0.0,0.0,1.0,"""Sooner or later, all of us will be on the menu."" On this day in #CBStory, March 2, 1962, #TheTwilightZone episode… https://t.co/anyDm5TtdJ",2019-03-02 18:00:00+00:00,1081.0,-0.4767,0.0,-0.204,0.796,"In Opinion 

Basharat Peer writes, “India and Pakistan blame each other, each country obsessed with proving itself… https://t.co/tjyJwuM3IL",2019-03-02 22:00:08+00:00,8.23,0.5267,0.152,0.0,0.848,"Tonight, England face current champions USA in the 2019 #SheBelieves Cup. ⚽

Live on @BBCTwo from 9:45pm.
👉… https://t.co/Y939dPDoDT",2019-03-02 18:01:07+00:00,60.02,0.4404,0.162,0.0,0.838,One of President Trump's many supporters at the Conservative Political Action Conference painted a massive 8-by-16… https://t.co/xFkGHg7Qnj,2019-03-02 22:02:00+00:00,2.45
-0.5994,0.0,-0.245,0.755,Schools become the new frontline in the war between bikies and police https://t.co/RyhU6WGasS,2019-03-02 21:45:07+00:00,0.0,-0.8658,0.0,-0.326,0.674,"Two California police officers who killed Stephon Clark, an unarmed black man who was fatally shot in his grandmoth… https://t.co/Z2TvKO1tS3",2019-03-02 22:09:21+00:00,5.28,0.5719,0.188,0.0,0.812,"CBS celebrates #WomensHistoryMonth by paying tribute to women pioneers in the fields of science, technology, engine… https://t.co/ASkPRHL4Sl",2019-03-01 23:59:00+00:00,200.85,-0.6705,0.0,-0.2,0.8,"Breaking News: 2 police officers who shot and killed Stephon Clark, an unarmed black man, last year in a Sacramento… https://t.co/fyMj8OAh9U",2019-03-02 21:51:54+00:00,6.82,0.5719,0.204,-0.084,0.712,"""Losing my sight made me more aware of the beauty in music.""
This music teacher is ready to give it her all on BRAN… https://t.co/4anh610rlc",2019-03-02 17:01:06+00:00,60.03,0.0,0.0,0.0,1.0,Trump Slams Russia Investigation And Green New Deal At CPAC https://t.co/7sxlydJwQv,2019-03-02 21:59:33+00:00,27.55
0.0,0.0,0.0,1.0,'It's too soon': Caitlin was just 23 weeks pregnant when she went into labour at work https://t.co/LL5LuQjTWP,2019-03-02 21:45:07+00:00,4.28,0.7506,0.252,0.0,0.748,"Toni Harris has huge dreams to be the first woman to play in the NFL.

She is the first woman who has signed a lett… https://t.co/HjQOV6IXF3",2019-03-02 22:04:04+00:00,4.07,0.0,0.0,0.0,1.0,RT @TheTwilightZone: Enter the fifth dimension with @SethRogen as we he will star in an upcoming episode of #TheTwilightZone. The new @CBSA…,2019-03-01 20:38:09+00:00,136.58,0.0,0.0,0.0,1.0,"Many of the words Senator Bernie Sanders used at his campaign rally on Saturday were familiar: “revolution,” “econo… https://t.co/10GxpO6UVq",2019-03-02 21:45:05+00:00,7.72,0.0,0.0,0.0,1.0,"'Millennial burnout' is more than just a 'snowflake' issue.
👉 https://t.co/O4tCxX6lfW https://t.co/QYNUfdToRG",2019-03-02 16:01:04+00:00,59.98,0.0772,0.067,0.0,0.933,The top-ranked U.S. Women's National Soccer Team is facing off against number four England in a 'friendly' game tod… https://t.co/smA2EEtHnb,2019-03-02 21:32:00+00:00,13.77
0.0,0.0,0.0,1.0,China lashes Canada over Huawei extradition announcement https://t.co/6ZjR9KDPUn,2019-03-02 21:40:50+00:00,8.43,0.0,0.0,0.0,1.0,“You’ve got to push back. You never let bullies run over you.” Sen. Elizabeth Warren talks about President Trump an… https://t.co/35zINfcjds,2019-03-02 22:00:00+00:00,7.87,0.5719,0.188,0.0,0.812,"CBS celebrates #WomensHistoryMonth by paying tribute to women pioneers in the fields of science, technology, engine… https://t.co/ALUchHgJmM",2019-03-01 18:21:34+00:00,54.0,0.7351,0.256,0.0,0.744,Our commitment to surfacing the stories of these remarkable men and women doesn't end with Black History Month. We… https://t.co/w8P6LCe44c,2019-03-02 21:37:22+00:00,0.97,0.0,0.0,0.0,1.0,"Have potatoes secretly been a health food this whole time? 😮 🥔 🙌

#InsideTheFactory | on @BBCiPlayer
https://t.co/GNE22Kufuz",2019-03-02 15:01:05+00:00,120.0,0.0,0.0,0.0,1.0,"Note: This story is developing and will be updated.
https://t.co/zwG0dEtWq7",2019-03-02 21:18:14+00:00,3.15
0.0,0.0,0.0,1.0,"From radioactive silos to tropical gothic, eccentric homes show a different Darwin https://t.co/1dNpiEYcK1",2019-03-02 21:32:24+00:00,8.28,0.0772,0.067,0.0,0.933,A number of resorts are offering non-traditional lodging so visitors can be close to the world around them without… https://t.co/s2uJtd5wuO,2019-03-02 21:52:08+00:00,12.05,0.0,0.0,0.0,1.0,RT @CBSSports: IT'S HERE 🔊🆙 https://t.co/6ZWwV2jmWw,2019-03-01 17:27:34+00:00,1184.35,0.4215,0.141,0.0,0.859,"Donald Joseph White (DONDI), 1961-1998

His graffiti made him a legend years before “street art” became popular. “Y… https://t.co/ehm8LwxALb",2019-03-02 21:36:24+00:00,6.27,0.5106,0.171,0.0,0.829,"Lotte Reiniger is one of the unsung heroes of early animation techniques. 🎬 🙌
https://t.co/ReEUcgc9PE",2019-03-02 13:01:05+00:00,59.98,0.0,0.0,0.0,1.0,"(2/2) Police responded to a 911 call about a man breaking car windows on March 18, 2018, and pursued Clark into his… https://t.co/3pcZdnGRoi",2019-03-02 21:15:05+00:00,1.28
0.0,0.0,0.0,1.0,Harry Potter and the theatre of secrets: Why The Cursed Child had to be on stage https://t.co/ygRhp0lrC9,2019-03-02 21:24:07+00:00,6.42,0.0,0.0,0.0,1.0,"After five months in the ICU, the world's tiniest baby boy has left the hospital https://t.co/1u0t1aNNTS https://t.co/GyzXneGk1r",2019-03-02 21:40:05+00:00,13.02,0.4767,0.143,-0.055,0.802,.@missmayim is here for you with some serious wisdom as the @bigbangtheory series finale draws nigh. If only she co… https://t.co/kjQg51Sn5C,2019-02-28 21:43:13+00:00,217.37,-0.7063,0.0,-0.196,0.804,"RT @EricSchmittNYT: ""We are very scared.""  Where terrorism is rising in the West Africa scrubland, the U.S. military is leaving  https://t.…",2019-03-02 21:30:08+00:00,15.03,0.7096,0.247,0.0,0.753,"What turns a habit into an addiction? 🤔
@TheMaeMartin uses wit, honesty and hilarious anecdotes to explore the fine… https://t.co/oWvAmFc3BO",2019-03-02 12:01:06+00:00,60.03,-0.5106,0.0,-0.185,0.815,"#BREAKING: There will be no charges filed against two police officers who shot 22 year old Stephon Clark, an unarme… https://t.co/U5JSCp7LpR",2019-03-02 21:13:48+00:00,11.78
-0.4939,0.0,-0.262,0.738,Three homes destroyed by out-of-control bushfires in eastern Victoria https://t.co/JyR2tLKpxx,2019-03-02 21:17:42+00:00,11.3,0.0258,0.078,0.0,0.922,"""Astronaut"" dummy Ripley rides aboard SpaceX's Crew Dragon bound for space station
https://t.co/NJLyHj9dSH https://t.co/MWArlaVb1g",2019-03-02 21:27:04+00:00,11.97,0.0,0.0,0.0,1.0,.@ninadobrev tells @CBSThisMorning about her adjustment to performing in front of a live audience on @FamCBS after… https://t.co/iCvKfUx5ys,2019-02-28 18:05:51+00:00,5.85,0.0,0.0,0.0,1.0,"On Saturday, the chief of Russia’s armed forces, Gen. Valery V. Gerasimov, said Russia should bring a blend of poli… https://t.co/QDY7pgYvNx",2019-03-02 21:15:06+00:00,14.95,0.6114,0.222,0.0,0.778,"This coconut fried chicken recipe from @MasterChefUK = perfect weekend dinner! 😋
#MasterChefUK https://t.co/GGFCEF8eh8",2019-03-02 11:01:04+00:00,60.0,0.0,0.0,0.0,1.0,"""To me, all music, whether it's intentional or not, will have a political dimension,"" Hozier explains. He says his… https://t.co/szzdtlIFHz",2019-03-02 21:02:01+00:00,29.62
0.0,0.0,0.0,1.0,Outback school students swap classroom for the Sri Lankan jungle https://t.co/uZXMT7Cm5U,2019-03-02 21:06:24+00:00,6.33,-0.4404,0.0,-0.146,0.854,An anti-Muslim poster associating US Rep. Ilhan Omar with the September 11 attacks appeared Friday at a Republican-… https://t.co/YvpysjzFOW,2019-03-02 21:15:06+00:00,13.03,0.0,0.0,0.0,1.0,"On this day in #CBStory, February 28, 1983, the series finale of M*A*S*H aired on CBS. Viewed by over 100 million p… https://t.co/mHs729TE4u",2019-02-28 18:00:00+00:00,1101.5,-0.7579,0.059,-0.308,0.633,"Intense shelling erupted along the disputed border between India and Pakistan on Saturday, killing several civilian… https://t.co/pc0exBImI5",2019-03-02 21:00:09+00:00,15.05,-0.25,0.0,-0.091,0.909,"What happens when David Hockney, two journalists, an artist and a cameraman get stuck in a lift in Amsterdam? 👍
👉… https://t.co/UP7hf9Tuwn",2019-03-02 10:01:04+00:00,60.07,0.0,0.0,0.0,1.0,"The blast off of SpaceX's Falcon 9 rocket and Crew Dragon capsule marks a new chapter, as the U.S. has reportedly p… https://t.co/ZOCcnCl0Vl",2019-03-02 20:32:24+00:00,30.4
0.5719,0.209,0.0,0.791,When your sperm donor becomes part of the family: one couple's IVF success story https://t.co/y5yvXkgzo9,2019-03-02 21:00:04+00:00,29.52,0.3612,0.116,0.0,0.884,"In his 2020 presidential campaign launch, Sen. Bernie Sanders stepping out of his comfort zone to tell Americans wh… https://t.co/P01EqEdeF8",2019-03-02 21:02:04+00:00,2.78,0.6705,0.216,0.0,0.784,"Lydian knows the keys to success in playing the piano, and they'll take him to the moon and back. @WorldsBestCBS ai… https://t.co/205ruisTz9",2019-02-27 23:38:30+00:00,278.48,0.5267,0.159,0.0,0.841,"In Opinion

Lauren Justice writes, ""Every time these men called their partners names, hit them, or used intimidatio… https://t.co/UZCSy67cJJ",2019-03-02 20:45:06+00:00,14.98,0.34,0.146,0.0,0.854,Can @MarkBenton100 and @DollyJoyner translate these Shakespeare play titles from emoji to English? 📚… https://t.co/KfVFFibu4h,2019-03-02 09:01:00+00:00,779.88,0.5106,0.193,0.0,0.807,A woman's recurring dream feels increasingly real in Sandra Newman's new novel –– and the author says she views the… https://t.co/gExlkUt2c3,2019-03-02 20:02:00+00:00,28.52
0.0,0.0,0.0,1.0,Adopting Canberra climate initiatives sees agribusiness flourish on green path https://t.co/OkNzR6ZcJL,2019-03-02 20:30:33+00:00,27.42,0.1779,0.152,-0.126,0.722,"“I’m in such a horrible position. Because in one way I have to negotiate. In the other way, I love Mr. and Mrs. War… https://t.co/fBNdveZz1u",2019-03-02 20:59:17+00:00,8.22,0.0,0.0,0.0,1.0,Learn about Black History with @BethBehrs and CBS. #BlackHistoryMonth https://t.co/KHxgdbaHx3,2019-02-27 19:00:01+00:00,116.77,-0.128,0.0,-0.081,0.919,"According to some polls, 92% of black voters, who are overwhelmingly Democrats, disapprove of President Trump. But… https://t.co/VHiTD89e88",2019-03-02 20:30:07+00:00,15.02,0.7964,0.378,0.0,0.622,"Tonight, the contestants must create a fresh pasta dish to impress @JayRayner1, one of the country's top food criti… https://t.co/yVLMoyV0fC",2019-03-01 20:01:07+00:00,60.03,-0.6486,0.0,-0.177,0.823,"In between robbing banks, fleeing the law and murdering, Bonnie and Clyde had a side hobby: poetry. On May 4, poems… https://t.co/V3gaswjBpB",2019-03-02 19:33:29+00:00,1.48
